source_index,target_index,source_value,target_value,source_stream,target_stream,spatial_weight
52,54,54,56,mixed_even_composite,mixed_even_composite,0.33919787406921387
52,102,54,108,mixed_even_composite,mixed_even_composite,0.3944322466850281
53,55,55,57,lpf_odd_composite,lpf_odd_composite,0.3789611756801605
53,103,55,110,lpf_odd_composite,mixed_even_composite,0.2769384980201721
54,56,56,58,mixed_even_composite,mixed_even_composite,0.34922850131988525
54,105,56,112,mixed_even_composite,mixed_even_composite,0.3944322466850281
55,61,57,63,lpf_odd_composite,lpf_odd_composite,0.30926668643951416
55,106,57,114,lpf_odd_composite,mixed_even_composite,0.27908241748809814
56,58,58,60,mixed_even_composite,mixed_even_composite,0.3993986248970032
56,108,58,116,mixed_even_composite,mixed_even_composite,0.3944322466850281
57,59,59,61,first_order_odd,first_order_odd,0.3061286211013794
57,110,59,118,first_order_odd,mixed_even_composite,0.19518038630485535
58,60,60,62,mixed_even_composite,mixed_even_composite,0.411233514547348
58,112,60,120,mixed_even_composite,mixed_even_composite,0.3944322466850281
59,65,61,67,first_order_odd,first_order_odd,0.21713130176067352
59,114,61,122,first_order_odd,mixed_even_composite,0.19845092296600342
60,64,62,66,mixed_even_composite,mixed_even_composite,0.36134234070777893
60,116,62,124,mixed_even_composite,mixed_even_composite,0.39443233609199524
61,63,63,65,lpf_odd_composite,lpf_odd_composite,0.3694527745246887
61,118,63,126,lpf_odd_composite,mixed_even_composite,0.27907803654670715
62,119,64,128,pure_even_lift,pure_even_lift,0.39443233609199524
63,67,65,69,lpf_odd_composite,lpf_odd_composite,0.30761367082595825
63,121,65,130,lpf_odd_composite,mixed_even_composite,0.27703240513801575
64,66,66,68,mixed_even_composite,mixed_even_composite,0.4009079039096832
64,122,66,132,mixed_even_composite,mixed_even_composite,0.39443206787109375
65,69,67,71,first_order_odd,first_order_odd,0.36545583605766296
65,124,67,134,first_order_odd,mixed_even_composite,0.19480308890342712
66,68,68,70,mixed_even_composite,mixed_even_composite,0.4114398658275604
66,126,68,136,mixed_even_composite,mixed_even_composite,0.39443233609199524
67,73,69,75,lpf_odd_composite,lpf_odd_composite,0.3139965236186981
67,127,69,138,lpf_odd_composite,mixed_even_composite,0.2790742516517639
68,70,70,72,mixed_even_composite,mixed_even_composite,0.34338289499282837
68,128,70,140,mixed_even_composite,mixed_even_composite,0.39443233609199524
69,71,71,73,first_order_odd,first_order_odd,0.21714569628238678
69,130,71,142,first_order_odd,mixed_even_composite,0.1946348249912262
70,72,72,74,mixed_even_composite,mixed_even_composite,0.3513568341732025
70,132,72,144,mixed_even_composite,mixed_even_composite,0.39443233609199524
71,77,73,79,first_order_odd,first_order_odd,0.15451230108737946
71,134,73,146,first_order_odd,mixed_even_composite,0.20148944854736328
72,74,74,76,mixed_even_composite,mixed_even_composite,0.40210044384002686
72,136,74,148,mixed_even_composite,mixed_even_composite,0.3944322466850281
73,75,75,77,lpf_odd_composite,lpf_odd_composite,0.2807013690471649
73,137,75,150,lpf_odd_composite,mixed_even_composite,0.2790709137916565
