radius,radius_kpc,observed_velocity,observed_velocity_kms,velocity_uncertainty,velocity_uncertainty_kms,tne_prediction,baseline_prediction,flat_baseline_prediction,linear_baseline_prediction,smoothed_empirical_reference,tne_residual,baseline_residual,galaxy_id,best_arm_mode,baseline_winner,source_status
0.18239564428312158,8.04,0.9363057324840764,147.0,0.01910828025477707,3.0,0.7902649496500482,0.7312603623370225,0.7941878980891719,0.7312603623370225,0.940552016985138,-0.14604078283402822,-0.20504537014705393,NGC3198,4,linear_rotation_baseline,fetched
0.2277676950998185,10.04,0.9681528662420382,152.0,0.012738853503184714,2.0,0.8972245637427705,0.7521766542565792,0.7941878980891719,0.7521766542565792,0.9660297239915074,-0.07092830249926774,-0.21597621198545902,NGC3198,4,linear_rotation_baseline,fetched
0.27336660617059894,12.05,0.9936305732484076,156.0,0.012738853503184714,2.0,0.9553037250329252,0.7731975276357337,0.7941878980891719,0.7731975276357337,0.9872611464968153,-0.03832684821548249,-0.22043304561267396,NGC3198,4,linear_rotation_baseline,fetched
0.31873865698729587,14.05,1.0,157.0,0.012738853503184714,2.0,0.9194259652643423,0.7941138195552904,0.7941878980891719,0.7941138195552904,0.9893842887473461,-0.08057403473565772,-0.20588618044470963,NGC3198,4,linear_rotation_baseline,fetched
0.4112976406533575,18.13,0.9745222929936306,153.0,0.012738853503184714,2.0,0.8462353353364331,0.836783055071186,0.7941878980891719,0.836783055071186,0.9830148619957537,-0.12828695765719744,-0.13773923792244458,NGC3198,4,linear_rotation_baseline,fetched
0.5018148820326679,22.12,0.9745222929936306,153.0,0.012738853503184714,2.0,0.9518135968044265,0.8785110574507016,0.7941878980891719,0.8785110574507016,0.9660297239915074,-0.022708696189204125,-0.09601123554292901,NGC3198,4,linear_rotation_baseline,fetched
0.5921052631578948,26.1,0.9490445859872612,149.0,0.012738853503184714,2.0,1.0214281605655924,0.9201344783706195,0.7941878980891719,0.9201344783706195,0.9511677282377919,0.07238357457833122,-0.0289101076166417,NGC3198,4,linear_rotation_baseline,fetched
0.6823956442831216,30.08,0.9299363057324841,146.0,0.012738853503184714,2.0,0.9758866668050941,0.9617578992905373,0.7941878980891719,0.9617578992905373,0.940552016985138,0.04595036107260997,0.03182159355805325,NGC3198,4,linear_rotation_baseline,fetched
0.7726860254083485,34.06,0.9426751592356688,148.0,0.012738853503184714,2.0,0.981351577835736,1.0033813202104551,0.7941878980891719,1.0033813202104551,0.9384288747346072,0.03867641860006721,0.060706160974786316,NGC3198,4,linear_rotation_baseline,fetched
0.8194192377495463,36.12,0.9426751592356688,148.0,0.012738853503184714,2.0,1.0089242620671608,1.0249251008875984,0.7941878980891719,1.0249251008875984,0.9469214437367304,0.06624910283149199,0.08224994165192956,NGC3198,4,linear_rotation_baseline,fetched
0.9097096188747732,40.1,0.9554140127388535,150.0,0.012738853503184714,2.0,1.0564670651684365,1.0665485218075164,0.7941878980891719,1.0665485218075164,0.9490445859872612,0.10105305242958296,0.11113450906866285,NGC3198,4,linear_rotation_baseline,fetched
1.0,44.08,0.9490445859872612,149.0,0.01910828025477707,3.0,1.0564670651684365,1.1081719427274341,0.7941878980891719,1.1081719427274341,0.6348195329087049,0.10742247918117531,0.15912735674017298,NGC3198,4,linear_rotation_baseline,fetched
0.03234042553191489,0.76,0.6363636363636364,77.0,0.08264462809917356,10.0,0.619464629208215,0.90175450803131,0.9424931129476585,0.90175450803131,0.48760330578512395,-0.016899007155421364,0.2653908716676736,NGC6503,4,linear_rotation_baseline,fetched
0.06468085106382979,1.52,0.8264462809917356,100.0,0.04132231404958678,5.0,0.619464629208215,0.9044750885375678,0.9424931129476585,0.9044750885375678,0.8126721763085398,-0.20698165178352057,0.07802880754583219,NGC6503,4,linear_rotation_baseline,fetched
0.12936170212765957,3.04,0.9752066115702479,118.0,0.01652892561983471,2.0,0.6739008625702482,0.9099162495500833,0.9424931129476585,0.9099162495500833,0.9338842975206612,-0.30130574899999973,-0.06529036202016458,NGC6503,4,linear_rotation_baseline,fetched
0.16127659574468084,3.79,1.0,121.0,0.01652892561983471,2.0,0.7501158427462418,0.9126010329444167,0.9424931129476585,0.9126010329444167,0.9917355371900825,-0.24988415725375823,-0.08739896705558325,NGC6503,4,linear_rotation_baseline,fetched
0.19361702127659575,4.55,1.0,121.0,0.01652892561983471,2.0,0.8273470226579154,0.9153216134506745,0.9424931129476585,0.9153216134506745,0.9862258953168044,-0.17265297734208462,-0.08467838654932547,NGC6503,4,linear_rotation_baseline,fetched
0.25829787234042556,6.07,0.9586776859504132,116.0,0.01652892561983471,2.0,0.9798068240000184,0.9207627744631901,0.9424931129476585,0.9207627744631901,0.9724517906336089,0.021129138049605145,-0.037914911487223146,NGC6503,4,linear_rotation_baseline,fetched
0.2906382978723404,6.83,0.9586776859504132,116.0,0.01652892561983471,2.0,0.9539009552941611,0.9234833549694479,0.9424931129476585,0.9234833549694479,0.9586776859504132,-0.0047767306562521705,-0.03519433098096536,NGC6503,4,linear_rotation_baseline,fetched
0.3229787234042553,7.59,0.9586776859504132,116.0,0.01652892561983471,2.0,0.9279950865883038,0.9262039354757057,0.9424931129476585,0.9262039354757057,0.9559228650137741,-0.030682599362109486,-0.032473750474707574,NGC6503,4,linear_rotation_baseline,fetched
