Iterations,Approximated Pi,Actual Pi,Difference
134001,3.1416001162206237,3.141592653589793,7.4626308306235956e-06
135001,3.141600060942286,3.141592653589793,7.407352492716512e-06
136001,3.141600006476861,3.141592653589793,7.352887068101666e-06
137001,3.1415999528065486,3.141592653589793,7.299216755463078e-06
138001,3.1415998999140595,3.141592653589793,7.246324266407811e-06
139001,3.1415998477826075,3.141592653589793,7.194192814363731e-06
140001,3.141599796395876,3.141592653589793,7.14280608304918e-06
141001,3.1415997457380382,3.141592653589793,7.092148245124719e-06
142001,3.141599695793686,3.141592653589793,7.042203892915211e-06
143001,3.1415996465478435,3.141592653589793,6.992958050400233e-06
144001,3.1415995979859717,3.141592653589793,6.944396178543144e-06
145001,3.1415995500939076,3.141592653589793,6.896504114450863e-06
146001,3.1415995028579022,3.141592653589793,6.8492681091214536e-06
147001,3.1415994562645593,3.141592653589793,6.802674766159811e-06
148001,3.1415994103008487,3.141592653589793,6.756711055544429e-06
149001,3.141599364954095,3.141592653589793,6.71136430208108e-06
150001,3.1415993202119665,3.141592653589793,6.6666221734124065e-06
151001,3.1415992760624416,3.141592653589793,6.622472648487587e-06
152001,3.1415992324938276,3.141592653589793,6.578904034437727e-06
153001,3.1415991894947393,3.141592653589793,6.5359049461477525e-06
154001,3.14159914705407,3.141592653589793,6.493464276946526e-06
155001,3.141599105161013,3.141592653589793,6.4515712199231245e-06
156001,3.1415990638050535,3.141592653589793,6.410215260377328e-06
157001,3.141599022975914,3.141592653589793,6.3693861207525515e-06
158001,3.1415989826636035,3.141592653589793,6.329073810373842e-06
159001,3.1415989428583626,3.141592653589793,6.289268569492634e-06
160001,3.141598903550675,3.141592653589793,6.24996088172125e-06
161001,3.1415988647312947,3.141592653589793,6.211141501566431e-06
162001,3.1415988263911476,3.141592653589793,6.172801354509261e-06
163001,3.1415987885214296,3.141592653589793,6.134931636481156e-06
164001,3.141598751113538,3.141592653589793,6.097523745030031e-06
165001,3.1415987141590724,3.141592653589793,6.060569279320305e-06
166001,3.1415986776498404,3.141592653589793,6.024060047238322e-06
167001,3.141598641577847,3.141592653589793,5.987988053846038e-06
168001,3.1415986059352776,3.141592653589793,5.952345484505628e-06
169001,3.1415985707145166,3.141592653589793,5.917124723531231e-06
170001,3.141598535908105,3.141592653589793,5.8823183120004785e-06
171001,3.1415985015087835,3.141592653589793,5.847918990387058e-06
172001,3.141598467509451,3.141592653589793,5.813919657704503e-06
173001,3.1415984339031735,3.141592653589793,5.78031338038798e-06
174001,3.1415984006831708,3.141592653589793,5.747093377639345e-06
175001,3.1415983678428274,3.141592653589793,5.714253034305727e-06
176001,3.1415983353756642,3.141592653589793,5.681785871125555e-06
177001,3.1415983032753663,3.141592653589793,5.649685573150265e-06
178001,3.1415982715357407,3.141592653589793,5.617945947555825e-06
179001,3.1415982401507456,3.141592653589793,5.586560952508535e-06
180001,3.1415982091144716,3.141592653589793,5.5555246785132795e-06
181001,3.1415981784211393,3.141592653589793,5.524831346193082e-06
182001,3.14159814806509,3.141592653589793,5.4944752969632304e-06
183001,3.1415981180407964,3.141592653589793,5.46445100324533e-06
184001,3.1415980883428607,3.141592653589793,5.434753067579123e-06
185001,3.141598058965974,3.141592653589793,5.4053761808781076e-06
186001,3.141598029904966,3.141592653589793,5.376315173055701e-06
187001,3.141598001154768,3.141592653589793,5.347564974833574e-06
188001,3.1415979727104264,3.141592653589793,5.3191206332847685e-06
189001,3.141597944567079,3.141592653589793,5.290977286076526e-06
190001,3.1415979167199786,3.141592653589793,5.263130185451104e-06
191001,3.1415978891644665,3.141592653589793,5.23557467335678e-06
192001,3.1415978618959848,3.141592653589793,5.2083061916619044e-06
193001,3.1415978349100797,3.141592653589793,5.181320286595792e-06
194001,3.141597808202384,3.141592653589793,5.1546125909851526e-06
195001,3.141597781768611,3.141592653589793,5.128178818036844e-06
196001,3.141597755604564,3.141592653589793,5.102014770663743e-06
197001,3.141597729706143,3.141592653589793,5.076116349922444e-06
198001,3.1415977040693206,3.141592653589793,5.050479527479723e-06
199001,3.141597678690145,3.141592653589793,5.025100351829792e-06
200001,3.141597653564762,3.141592653589793,4.999974968722398e-06
201001,3.1415976286893863,3.141592653589793,4.975099593185206e-06
202001,3.141597604060301,3.141592653589793,4.95047050774744e-06
203001,3.141597579673863,3.141592653589793,4.9260840699894e-06
204001,3.1415975555265097,3.141592653589793,4.901936716539268e-06
205001,3.1415975316147375,3.141592653589793,4.878024944421355e-06
206001,3.141597507935118,3.141592653589793,4.854345324822873e-06
207001,3.141597484484287,3.141592653589793,4.8308944937680565e-06
208001,3.141597461258942,3.141592653589793,4.807669149009541e-06
209001,3.141597438255848,3.141592653589793,4.784666054913345e-06
210001,3.1415974154718325,3.141592653589793,4.76188203935024e-06
211001,3.1415973929037793,3.141592653589793,4.739313986146243e-06
212001,3.1415973705486278,3.141592653589793,4.716958834638518e-06
213001,3.141597348403384,3.141592653589793,4.694813590777613e-06
214001,3.141597326465109,3.141592653589793,4.672875316025227e-06
215001,3.1415973047309076,3.141592653589793,4.651141114475621e-06
216001,3.1415972831979535,3.141592653589793,4.629608160389154e-06
217001,3.1415972618634536,3.141592653589793,4.608273660444695e-06
218001,3.141597240724685,3.141592653589793,4.587134891931299e-06
219001,3.141597219778963,3.141592653589793,4.566189169885604e-06
220001,3.1415971990236584,3.141592653589793,4.545433865299486e-06
221001,3.1415971784561756,3.141592653589793,4.524866382471515e-06
222001,3.141597158073995,3.141592653589793,4.504484202083603e-06
223001,3.1415971378745975,3.141592653589793,4.484284804373573e-06
224001,3.1415971178555546,3.141592653589793,4.464265761505715e-06
225001,3.141597098014466,3.141592653589793,4.44442467273376e-06
226001,3.1415970783489597,3.141592653589793,4.424759166621328e-06
227001,3.1415970588567177,3.141592653589793,4.405266924578655e-06
228001,3.1415970395354536,3.141592653589793,4.385945660434487e-06
229001,3.1415970203829335,3.141592653589793,4.3667931404201e-06
230001,3.1415970013969554,3.141592653589793,4.3478071622971015e-06
231001,3.1415969825753614,3.141592653589793,4.328985568236021e-06
