index,prime,gap,motif,run,domain
447,3163,26.0,E2.5,2,E2
448,3167,4.0,E1.1,90,E1
449,3169,2.0,E1.0,84,E1
450,3181,12.0,E3.0,31,E3
451,3187,6.0,E2.0,111,E2
452,3191,4.0,E1.1,91,E1
453,3203,12.0,E3.0,32,E3
454,3209,6.0,E2.0,112,E2
455,3217,8.0,E1.2,43,E1
456,3221,4.0,E1.1,92,E1
457,3229,8.0,E1.2,44,E1
458,3251,22.0,E2.4,5,E2
459,3253,2.0,E1.0,85,E1
460,3257,4.0,E1.1,93,E1
461,3259,2.0,E1.0,86,E1
462,3271,12.0,E3.0,33,E3
463,3299,28.0,E3.2,2,E3
464,3301,2.0,E1.0,87,E1
465,3307,6.0,E2.0,113,E2
466,3313,6.0,E2.0,114,E2
467,3319,6.0,E2.0,115,E2
468,3323,4.0,E1.1,94,E1
469,3329,6.0,E2.0,116,E2
470,3331,2.0,E1.0,88,E1
